item,name,groupitem,group,district,constituency,gender,dob,dobPrecision,psid
Q11016682,Jānis Dombrava,Q49637732,"National Alliance ""All For Latvia!"" – ""For Fatherland and Freedom/LNNK"" parliamentary group",,,male,1988-06-29,11,Q11016682-0929B26C-7D81-45AC-82FB-97A74F20D12B
Q11119664,Ingūna Rībena,Q49637732,"National Alliance ""All For Latvia!"" – ""For Fatherland and Freedom/LNNK"" parliamentary group",,,female,1956-07-24,11,Q11119664-E7F52BF6-9323-4F1A-BDB2-373D6D46B53E
Q1156612,Dace Rukšāne,Q58371178,"""Development/For!"" parliamentary group",,,female,1969-08-07,11,Q1156612-666BE43A-51F2-4F44-8F28-250EB923AFB4
Q11711469,Igor Vitalyevich Pimenov,Q49637655,Concord parliamentary group,,,male,1953-01-01,9,Q11711469-494AAB6F-D6EF-4E0E-BD6B-2EC38099CD31
Q11714346,Ivars Zariņš,Q49637655,Concord parliamentary group,,,male,1969-01-01,9,Q11714346-51B6F5A5-147B-4207-9244-E563756077B7
Q11731912,Jānis Iesalnieks,Q49637732,"National Alliance ""All For Latvia!"" – ""For Fatherland and Freedom/LNNK"" parliamentary group",,,male,1984-07-07,11,Q11731912-790B7EB5-6842-41BC-B13C-4DECC363F381
Q12667125,Arvils Ašeradens,Q49636278,Unity parliamentary group,,,male,1962-12-30,11,Q12667125-B2587EDD-FA40-49C7-8C40-33346EE81566
Q16350881,Aleksandrs Kiršteins,Q49637732,"National Alliance ""All For Latvia!"" – ""For Fatherland and Freedom/LNNK"" parliamentary group",,,male,1948-08-27,11,Q16350881-08DC8EDD-7C94-4244-97D5-E0887825F34C
Q16351725,Armands Krauze,Q49636011,Union of Greens and Farmers parliamentary group,,,male,1970-06-10,11,Q16351725-F593181B-20C0-43C4-8AF2-22D9E3F08F84
Q164247,Jānis Urbanovičs,Q49637655,Concord parliamentary group,,,male,1959-03-23,11,Q164247-F8E4E8E8-AB72-48BD-BA00-F9868A0C76AB
Q177465,Raivis Dzintars,Q49637732,"National Alliance ""All For Latvia!"" – ""For Fatherland and Freedom/LNNK"" parliamentary group",,,male,1982-11-25,11,Q177465-9A722B1E-1E5B-44D8-9E6D-31F3A6818264
Q18342826,Mārtiņš Bondars,Q58371178,"""Development/For!"" parliamentary group",,,male,1971-12-31,11,Q18342826-E5A2217C-D40D-40C2-A8F0-772A9D31DD52
Q18517421,Regīna Ločmele-Luņova,Q49637655,Concord parliamentary group,,,female,1966-11-19,11,Q18517421-D69012C8-4CD3-4D8B-BE9C-B9BBF8B2E41E
Q18669970,Jūlija Stepaņenko,Q49638041,unaffiliated members of parliament,,,female,1977-09-01,11,Q18669970-7D027B19-D1F4-4203-99BE-6F0D55674C54
Q1976817,Jānis Ādamsons,Q49637655,Concord parliamentary group,,,male,1956-11-03,11,Q1976817-2A488171-6B7F-4950-B102-E94C324A135C
Q20562252,Artuss Kaimiņš,Q58371161,“The Independent” parliamentary group,,,male,1980-11-03,11,Q20562252-5A20BB0B-A759-4771-B8B6-9E03BE774E93
Q20562562,Rihards Kols,Q49637732,"National Alliance ""All For Latvia!"" – ""For Fatherland and Freedom/LNNK"" parliamentary group",,,male,1984-12-16,11,Q20562562-3A28B23C-0B8E-4F4C-8A8C-DEDC6E13ACDF
Q20819153,Eva Mārtuža,Q58371201,New Conservatives’ parliamentary group,,,female,1954-12-15,11,Q20819153-C55BFCB6-FE5F-4D81-BC9F-3804D6B03745
Q21279413,Juris Pūce,Q58371178,"""Development/For!"" parliamentary group",,,male,1980-01-22,11,Q21279413-B8CA9DE3-75B0-41A2-AC28-5FE879496FDB
Q21481146,Ritvars Jansons,Q49637732,"National Alliance ""All For Latvia!"" – ""For Fatherland and Freedom/LNNK"" parliamentary group",,,male,1968-12-24,11,Q21481146-126C8CF7-5345-4A98-BE02-3374FC0F6AA6
Q2340101,Andrejs Klementjevs,Q49637655,Concord parliamentary group,,,male,1973-09-07,11,Q2340101-CF283393-5652-4E8E-84DE-E4CFD4ED484B
Q2340280,Sergejs Dolgopolovs,Q49637655,Concord parliamentary group,,,male,1941-09-03,11,Q2340280-C26A5BB9-BE18-4FCF-825D-C42C38DC9A41
Q2451422,Ivans Klementjevs,Q49637655,Concord parliamentary group,,,male,1960-11-18,11,Q2451422-A98B0847-36B5-4E2A-A03F-65F1C4DEA199
Q24639958,Anda Čakša,Q49636011,Union of Greens and Farmers parliamentary group,,,female,1974-07-11,11,Q24639958-1C03CD77-ACC3-4DF8-9901-9B395C54328F
Q2576371,Jānis Dūklavs,Q49636011,Union of Greens and Farmers parliamentary group,,,male,1952-11-24,11,Q2576371-535D3E1A-A676-4C21-B334-79251CD7F734
Q2577102,Gundars Daudze,Q49636011,Union of Greens and Farmers parliamentary group,,,male,1965-05-09,11,Q2577102-B4D8257F-50C1-41DD-A494-18E40AD59E04
Q2607084,Rihards Kozlovskis,Q49636278,Unity parliamentary group,,,male,1969-05-26,11,Q2607084-FB2D672A-A385-4C05-A702-1DF4C2BBE8FA
Q2671968,Uldis Augulis,Q49636011,Union of Greens and Farmers parliamentary group,,,male,1972-03-16,11,Q2671968-6C12C146-8BEF-4E5B-99B9-E386D52C80A7
Q28527298,Aldis Adamovičs,Q49636278,Unity parliamentary group,,,male,1970-01-01,9,Q28527298-4CD99341-912E-42CB-ABD5-1F0D32A3ECAF
Q31286016,Atis Zakatistovs,Q58371161,“The Independent” parliamentary group,,,male,1968-04-16,11,Q31286016-1043C4AF-18D7-439E-91CC-EE00514728CF
Q35768253,Krišjānis Feldmans,Q58371201,New Conservatives’ parliamentary group,,,male,1985-02-11,11,Q35768253-C9CB15CA-D6E4-4008-9A0E-7C3270B10DA8
